#     Step             Time      Temperature                E_kin                     E_pot             Pressure
       260         130.0000        3881.2234          24.58265138        -219.45441356       -8919.87283698
       261         130.5000        3948.0935          25.00618894        -220.11730563       -9068.06309941
       262         131.0000        4052.2237          25.66572204        -220.64233181       -8155.57499649
       263         131.5000        4078.0613          25.82937072        -220.95229257       -6264.70792574
       264         132.0000        4063.1435          25.73488529        -221.01529811       -2901.70207978
       265         132.5000        4006.7425          25.37765628        -220.87726275        -523.31146185
       266         133.0000        3973.8752          25.16948342        -220.65983572        1679.53962063
       267         133.5000        3978.3674          25.19793618        -220.42686798        2984.04190596
       268         134.0000        4003.3634          25.35625403        -220.71441812        2171.65408372
       269         134.5000        4126.6429          26.13707386        -221.47553794        -319.99354365
       270         135.0000        4117.6697          26.08024014        -221.62298196       -2245.54405035
       271         135.5000        4038.0201          25.57576069        -221.37457515       -4198.70148818
       272         136.0000        3992.3556          25.28653329        -221.33838599       -6968.34320244
       273         136.5000        3931.8783          24.90348606        -221.37134272       -9042.89873062
       274         137.0000        3958.7837          25.07389758        -221.29968668       -9267.70396795
       275         137.5000        3914.7113          24.79475480        -221.16169078       -8413.58634922
       276         138.0000        3936.6794          24.93389503        -221.07548405       -5457.47770804
       277         138.5000        3926.9270          24.87212573        -221.08654241       -2230.43725414
       278         139.0000        3887.6238          24.62318996        -221.18338204        2068.51404380
       279         139.5000        3944.6150          24.98415714        -221.28065540        7767.41288091
       280         140.0000        3869.0158          24.50533163        -221.28872025       12489.17234963
       281         140.5000        3872.0655          24.52464744        -221.27636855       16754.30424675
       282         141.0000        3933.5677          24.91418629        -221.47493778       20374.22224052
       283         141.5000        4051.5274          25.66131218        -222.04956438       22176.28543148
       284         142.0000        4097.6586          25.95349482        -222.69933100       23055.26271452
       285         142.5000        4108.8316          26.02426180        -222.87354541       24373.58347013
       286         143.0000        4023.0569          25.48098723        -222.46357741       25752.32890854
       287         143.5000        4078.6390          25.83302970        -222.30851551       25599.93149057
       288         144.0000        4237.5367          26.83944619        -222.64448579       25347.34735637
       289         144.5000        4315.4901          27.33318253        -223.00963076       24422.38037084
       290         145.0000        4342.1153          27.50181979        -223.09546493       23798.23784937
       291         145.5000        4309.6450          27.29616118        -222.88658717       23503.34244643
       292         146.0000        4271.0939          27.05198856        -222.59932186       24128.62890474
